type	algorithm	optimization	text	data	bss	h(0)	h(8)	h(16)	h(32)	h(64)	h(128)	h(256)	h(512)	h(1024)
HASH	LWC_ALGO_HASH_KNOT_256V1	O3	1144	240	1612	19422	38231	56781	94375	169290	319048	618771	1218147	2416910	
HASH	LWC_ALGO_HASH_KNOT_256V1	Os	796	240	1612	20700	40770	60708	101056	181276	342063	663467	1305931	2591427	
HASH	LWC_ALGO_HASH_KNOT_256V1	Ofast	1144	240	1612	19488	38165	56847	94310	169292	319042	618831	1218148	2416828	
HASH	LWC_ALGO_HASH_KNOT_256V2	O0	4292	240	1612	196357	195847	293602	390401	584276	971852	1747200	3297623	6398372	
HASH	LWC_ALGO_HASH_KNOT_256V2	O1	1048	240	1612	29865	29880	44629	59328	89130	148330	266867	503597	977383	
HASH	LWC_ALGO_HASH_KNOT_256V2	O2	1132	240	1612	39016	38971	58311	77750	116475	193879	349014	659016	1278861	
HASH	LWC_ALGO_HASH_KNOT_256V2	O3	1696	240	1612	36579	36685	54509	72669	108373	180257	323764	611102	1185585	
HASH	LWC_ALGO_HASH_KNOT_256V2	Os	1068	240	1612	35737	35770	53452	71241	106607	177413	319077	602560	1169261	
HASH	LWC_ALGO_HASH_KNOT_256V2	Ofast	1696	240	1612	36644	36621	54509	72668	108442	180192	323762	611101	1185572	
HASH	LWC_ALGO_HASH_KNOT_384	O0	4272	240	1612	248944	371625	494025	861865	1474318	2822435	5395496	10664546	21079810	
HASH	LWC_ALGO_HASH_KNOT_384	O1	1632	240	1612	37074	55410	73811	128154	219197	419102	800848	1582418	3127249	
HASH	LWC_ALGO_HASH_KNOT_384	O2	1716	240	1612	49036	73582	97651	170159	291028	556743	1064102	2102969	4156468	
HASH	LWC_ALGO_HASH_KNOT_384	O3	1856	240	1612	46736	69963	92577	160864	274709	525094	1003012	1981711	3916216	
HASH	LWC_ALGO_HASH_KNOT_384	Os	1680	240	1612	44136	66253	87957	153030	261474	500371	956262	1889766	3735055	
HASH	LWC_ALGO_HASH_KNOT_384	Ofast	1856	240	1612	46735	69964	92579	160865	274778	525163	1003075	1981774	3916244	
HASH	LWC_ALGO_HASH_KNOT_512	O0	4428	368	1612	370530	553462	736302	1101674	1832593	3294747	6218575	12066567	23762120	
HASH	LWC_ALGO_HASH_KNOT_512	O1	1240	368	1612	80149	119676	159343	238534	397126	713841	1347790	2615436	5150945	
HASH	LWC_ALGO_HASH_KNOT_512	O2	1316	368	1612	102259	153008	203820	305091	507961	913597	1725154	3347950	6593461	
HASH	LWC_ALGO_HASH_KNOT_512	O3	1512	368	1612	97972	146368	194417	291026	484042	870134	1642189	3186165	6274169	
HASH	LWC_ALGO_HASH_KNOT_512	Os	1228	368	1612	83116	123986	165001	246946	410918	738652	1394186	2705286	5327454	
HASH	LWC_ALGO_HASH_KNOT_512	Ofast	1512	368	1612	97974	146369	194416	291014	484024	870070	1642112	3186078	6274145	
HASH	LWC_ALGO_HASH_ORANGISHV1	O0	3244	128	1612	3794962	5696106	5692025	7589238	11386628	18975231	34159227	64509850	125212827	
