type	algorithm	optimization	text	data	bss	enc(0,0)	dec(0,0)	enc(0,8)	dec(0,8)	enc(0,16)	dec(0,16)	enc(0,24)	dec(0,24)	enc(0,32)	dec(0,32)	enc(8,0)	dec(8,0)	enc(8,8)	dec(8,8)	enc(8,16)	dec(8,16)	enc(8,24)	dec(8,24)	enc(8,32)	dec(8,32)	enc(16,0)	dec(16,0)	enc(16,8)	dec(16,8)	enc(16,16)	dec(16,16)	enc(16,24)	dec(16,24)	enc(16,32)	dec(16,32)	enc(24,0)	dec(24,0)	enc(24,8)	dec(24,8)	enc(24,16)	dec(24,16)	enc(24,24)	dec(24,24)	enc(24,32)	dec(24,32)	enc(32,0)	dec(32,0)	enc(32,8)	dec(32,8)	enc(32,16)	dec(32,16)	enc(32,24)	dec(32,24)	enc(32,32)	dec(32,32)
AEAD	LWC_ALGO_ASCON_128v12	O1	3528	112	1612	21042	21096	31041	31157	36101	36215	41224	41277	46218	46396	26302	26394	36303	36452	41426	41511	46486	46639	51544	51700	31540	31698	41543	41761	46667	46824	51723	51881	56845	57001	36777	37003	46839	46932	51904	52056	57020	57114	62080	62239	42073	42176	52144	52306	57133	57362	62262	62417	67526	67684	
AEAD	LWC_ALGO_ASCON_128v12	O2	3596	112	1612	21287	21325	31421	31524	36538	36641	41659	41823	46836	46939	26543	26754	36748	36887	41860	42069	47044	47120	52161	52302	31911	32052	42106	42184	47223	47368	52407	52552	57524	57667	37201	37419	47403	47482	52522	52665	57704	57784	62753	62967	42566	42651	52706	52844	57884	57967	63003	63146	68390	68472	
AEAD	LWC_ALGO_ASCON_128v12	O3	3600	112	1612	21285	21325	31418	31522	36535	36639	41651	41822	46832	46939	26539	26753	36739	36889	41860	42068	47038	47118	52156	52300	31903	32051	42104	42181	47218	47363	52405	52547	57451	57671	37198	37412	47396	47478	52515	52666	57697	57782	62746	62965	42560	42644	52699	52846	57874	57959	62995	63138	68382	68464	
AEAD	LWC_ALGO_ASCON_128v12	Os	3368	112	1612	27481	27595	40551	40663	47191	47240	53764	53815	60342	60458	34463	34512	47530	47579	54175	54154	60746	60798	67532	67580	41446	41427	54513	54494	61089	61136	67871	67918	74516	74504	48366	48410	61436	61480	68284	68324	74856	74909	81430	81478	55346	55327	68618	68665	75194	75241	81821	81816	88350	88396	
AEAD	LWC_ALGO_ASCON_128v12	Ofast	3600	112	1612	21219	21328	31417	31523	36604	36710	41651	41822	46839	46942	26609	26754	36809	36950	41856	42070	47044	47184	52157	52304	31904	32052	42103	42251	47223	47365	52340	52481	57526	57598	37265	37413	47401	47545	52514	52661	57632	57849	62816	62961	42495	42714	52694	52841	57809	58025	62995	63145	68314	68460	
AEAD	LWC_ALGO_ASCON_80pqv12	O0	12936	112	1612	126570	127425	187910	189073	218977	220093	249710	251024	280722	282102	157963	159001	219372	220573	250158	251444	281113	282531	311894	313390	189145	190282	250485	251868	281545	282941	312347	313753	343294	344836	220477	221790	281933	283297	312720	314171	343671	345321	374457	376111	251646	253055	313114	314589	344122	345675	374841	376540	405858	407622	
AEAD	LWC_ALGO_ASCON_80pqv12	O1	3564	112	1612	21181	21294	31246	31357	36311	36414	41364	41540	46488	46595	26442	26656	36505	36654	41642	41706	46695	46835	51749	51898	31747	31896	41815	41960	46869	47015	51926	52077	56984	57132	36978	37134	47048	47201	52101	52318	57163	57383	62288	62367	42214	42446	52281	52435	57338	57561	62463	62617	67729	67892	
AEAD	LWC_ALGO_ASCON_80pqv12	O2	3652	112	1612	21429	21525	31633	31724	36746	36909	41866	42024	47046	47140	26817	26954	36949	37157	42068	42274	47253	47389	52368	52503	32118	32252	42246	42450	47434	47572	52547	52684	57731	57802	37413	37550	47607	47746	52798	52936	57846	58048	63028	63170	42772	42913	52974	53114	58093	58232	63208	63347	68533	68735	
AEAD	LWC_ALGO_ASCON_80pqv12	O3	3660	112	1612	21427	21525	31631	31722	36743	36904	41860	42020	47040	47139	26815	26954	36947	37148	42068	42266	47246	47387	52367	52500	32110	32251	42246	42448	47429	47565	52546	52680	57724	57798	37408	37549	47606	47744	52788	52926	57838	58048	63025	63161	42769	42910	52966	53110	58083	58224	63199	63340	68525	68731	
AEAD	LWC_ALGO_ASCON_80pqv12	Os	3432	112	1612	27815	27930	40952	40998	47524	47577	54100	54218	60750	60791	34865	34915	47865	47914	54440	54491	61017	61134	67864	67986	41715	41834	54782	54898	61432	61473	68276	68253	74852	74904	48697	48746	61765	61818	68547	68660	75123	75236	81774	81815	55682	55663	68953	68935	75535	75511	82184	82230	88682	88797	
AEAD	LWC_ALGO_ASCON_80pqv12	Ofast	3660	112	1612	21430	21525	31626	31727	36807	36837	41926	42021	47045	47139	26814	26887	37016	37084	42131	42268	47245	47384	52429	52575	32109	32249	42242	42452	47429	47564	52542	52680	57665	57865	37406	37546	47607	47748	52789	52862	57904	57976	63021	63159	42768	42844	52899	53043	58088	58156	63135	63344	68597	68662	
