type	algorithm	optimization	text	data	bss	h(0)	h(8)	h(16)	h(32)	h(64)	h(128)	h(256)	h(512)	h(1024)
HASH	LWC_ALGO_HASH_KNOT_256V2	O3	1696	240	1612	36578	36621	54510	72668	108442	180194	323829	611109	1185591	
HASH	LWC_ALGO_HASH_KNOT_256V2	Os	1068	240	1612	35737	35835	53388	71242	106539	177412	319064	602568	1169252	
HASH	LWC_ALGO_HASH_KNOT_256V2	Ofast	1696	240	1612	36645	36621	54509	72602	108375	180194	323761	611105	1185581	
HASH	LWC_ALGO_HASH_KNOT_384	O0	4272	240	1612	248944	371626	494023	861869	1474328	2822502	5395498	10664509	21079804	
HASH	LWC_ALGO_HASH_KNOT_384	O1	1628	240	1612	37075	55409	73743	128155	219198	419102	800851	1582433	3127185	
HASH	LWC_ALGO_HASH_KNOT_384	O2	1716	240	1612	49036	73583	97651	170156	290947	556737	1064095	2102974	4156480	
HASH	LWC_ALGO_HASH_KNOT_384	O3	1856	240	1612	46736	69963	92578	160865	274715	525163	1003007	1981764	3916233	
HASH	LWC_ALGO_HASH_KNOT_384	Os	1680	240	1612	44136	66253	87958	153095	261524	500371	956342	1889739	3734987	
HASH	LWC_ALGO_HASH_KNOT_384	Ofast	1856	240	1612	46737	69895	92565	160867	274696	525166	1003066	1981767	3916235	
HASH	LWC_ALGO_HASH_KNOT_512	O0	4428	368	1612	370530	553468	736301	1101628	1832610	3294789	6218561	12066650	23762110	
HASH	LWC_ALGO_HASH_KNOT_512	O1	1236	368	1612	80153	119675	159341	238534	397125	713899	1347847	2615435	5150990	
HASH	LWC_ALGO_HASH_KNOT_512	O2	1316	368	1612	102260	153005	203818	305108	507964	913604	1725123	3348030	6593442	
HASH	LWC_ALGO_HASH_KNOT_512	O3	1512	368	1612	97973	146374	194416	291030	484087	870067	1642094	3186078	6274215	
HASH	LWC_ALGO_HASH_KNOT_512	Os	1228	368	1612	83116	123987	165064	246949	410905	738662	1394210	2705290	5327466	
HASH	LWC_ALGO_HASH_KNOT_512	Ofast	1512	368	1612	97974	146369	194480	291029	484040	870131	1642175	3186086	6274165	
HASH	LWC_ALGO_HASH_ORANGISHV1	O0	3244	128	1612	3794955	5696112	5692028	7589238	11386541	18975237	34159243	64509793	125213028	
HASH	LWC_ALGO_HASH_ORANGISHV1	O1	1524	128	1612	1392408	2089781	2088389	2784589	4177691	6961913	12532421	23667963	45939237	
HASH	LWC_ALGO_HASH_ORANGISHV1	O2	1572	128	1612	1535706	2304636	2307373	3077162	4615405	7695530	13851541	26174790	50820202	
HASH	LWC_ALGO_HASH_ORANGISHV1	O3	2256	128	1612	892985	1342571	1341738	1788770	2683110	4472131	8048686	15198026	29494231	
HASH	LWC_ALGO_HASH_ORANGISHV1	Os	1412	128	1612	1387399	2081852	2082337	2776799	4165231	6942915	12497576	23608996	45831467	
HASH	LWC_ALGO_HASH_ORANGISHV1	Ofast	2256	128	1612	892988	1342550	1341719	1788749	2683021	4472039	8048725	15197981	29494290	
HASH	LWC_ALGO_HASH_PHOTON_BEETLE_PHOTONBEETLEHASH256RATE32V1	O1	4220	128	1616	1444156	1444541	1444793	4332480	10106534	21656736	44756297	90953010	183349794	
HASH	LWC_ALGO_HASH_PHOTON_BEETLE_PHOTONBEETLEHASH256RATE32V1	O2	4160	128	1616	1588971	1589326	1589607	4766854	11120211	23829286	49246287	100077952	201744297	
HASH	LWC_ALGO_HASH_PHOTON_BEETLE_PHOTONBEETLEHASH256RATE32V1	O3	5244	128	1616	815761	816110	816337	2447502	5708551	12232522	25279896	51371966	103559733	
HASH	LWC_ALGO_HASH_PHOTON_BEETLE_PHOTONBEETLEHASH256RATE32V1	Os	4096	128	1616	1451161	1451503	1451801	4353646	10156022	21763179	44976353	91399925	184251203	
HASH	LWC_ALGO_HASH_PHOTON_BEETLE_PHOTONBEETLEHASH256RATE32V1	Ofast	5244	128	1616	815763	816109	816315	2447565	5708619	12232616	25279972	51371873	103559741	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	O0	4000	112	1612	106947	106965	106981	213280	319314	531965	956698	1806443	3505926	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	O1	1520	112	1612	30255	30269	30289	59672	89299	148344	266366	502274	974235	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	O2	1712	112	1612	33782	33797	33880	66912	99845	165972	298103	562353	1090931	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	O3	3448	112	1612	29427	29381	29458	58012	86803	144115	258658	488037	946563	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	Os	1496	112	1612	31483	31498	31514	62131	92983	154421	277429	523171	1015123	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	Ofast	3448	112	1612	29362	29444	29459	58011	86802	144115	258593	488030	946533	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	O0	4180	112	1612	1903526	3806269	5709000	9514417	17125343	32347248	62791095	123678520	245453829	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	O1	2224	112	1612	431791	862906	1293740	2155729	3879819	7327533	14223557	28015025	55598236	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	O2	2220	112	1612	450776	900852	1350989	2251092	4051178	7651436	14852048	29253428	58055851	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	O3	4200	112	1612	205007	409136	613250	1021400	1837984	3470721	6736578	13268355	26331653	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	Os	2020	112	1612	473880	946902	1419910	2366048	4258081	8042582	15611281	30748773	61023796	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	Ofast	4200	112	1612	204996	409077	613188	1021402	1837917	3470698	6736534	13268278	26331597	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	O0	4216	112	1612	4479704	4479843	6719253	8958792	13438076	22396166	40312820	76145842	147812470	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	O1	2260	112	1612	993387	993503	1489459	1985722	2978039	4962701	8932219	16870868	32748482	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	O2	2248	112	1612	1026258	1026384	1538969	2051650	3076897	5127663	9228831	17431397	33836555	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	O3	4228	112	1612	483220	483352	724436	965306	1447556	2411625	4340279	8197284	15911264	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	Os	2060	112	1612	1110930	1111050	1666165	2221096	3331180	5551466	9992023	18872840	36634929	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	Ofast	4228	112	1612	483259	483360	724382	965356	1447614	2411687	4340276	8197316	15911182	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	O0	4920	112	1612	52643	52670	52763	73243	113634	194691	357039	681551	1330555	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	O1	4056	112	1612	12456	12551	12642	17151	26211	44266	80579	153004	297917	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	O2	4044	112	1612	12153	12248	12346	16742	25502	43154	78533	149147	290250	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	O3	4804	112	1612	13670	13767	13864	18850	28856	48870	88965	169023	329339	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	Os	3976	112	1612	16008	16101	16198	22086	33924	57604	105090	200076	389554	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	Ofast	4804	112	1612	13671	13766	13798	18850	28790	48803	88967	169026	329334	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	O0	4948	112	1612	106061	106160	106249	136632	197188	318015	560165	1044250	2012633	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	O1	4076	112	1612	23486	23582	23672	30233	43199	69467	121532	226133	435070	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	O2	4064	112	1612	22906	23002	23166	29502	42139	67755	118567	220463	424165	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	O3	4824	112	1612	25012	25108	25207	32205	46105	74045	129641	241195	464291	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	Os	3984	112	1612	31090	31184	31286	39935	57368	92301	161976	301382	580132	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	Ofast	4824	112	1612	25078	25177	25272	32205	46103	74044	129648	241177	464294	
