type	algorithm	optimization	text	data	bss	enc(0,0)	dec(0,0)	enc(0,8)	dec(0,8)	enc(0,16)	dec(0,16)	enc(0,24)	dec(0,24)	enc(0,32)	dec(0,32)	enc(8,0)	dec(8,0)	enc(8,8)	dec(8,8)	enc(8,16)	dec(8,16)	enc(8,24)	dec(8,24)	enc(8,32)	dec(8,32)	enc(16,0)	dec(16,0)	enc(16,8)	dec(16,8)	enc(16,16)	dec(16,16)	enc(16,24)	dec(16,24)	enc(16,32)	dec(16,32)	enc(24,0)	dec(24,0)	enc(24,8)	dec(24,8)	enc(24,16)	dec(24,16)	enc(24,24)	dec(24,24)	enc(24,32)	dec(24,32)	enc(32,0)	dec(32,0)	enc(32,8)	dec(32,8)	enc(32,16)	dec(32,16)	enc(32,24)	dec(32,24)	enc(32,32)	dec(32,32)
AEAD	LWC_ALGO_ASCON_128av12	O1	4308	112	1612	21002	21112	27811	27917	34499	34607	34706	34813	41438	41490	21391	21495	28201	28239	34888	34995	35093	35200	41830	41938	28334	28406	35082	35216	41831	41906	42037	42179	48706	48851	28726	28861	35470	35609	42156	42360	42359	42566	49096	49237	35578	35716	42396	42523	49074	49222	49277	49422	55946	56155	
AEAD	LWC_ALGO_ASCON_128av12	O2	4368	112	1612	21244	21339	28138	28234	34917	35012	35111	35209	41862	42033	21625	21798	28520	28625	35296	35406	35492	35601	42310	42417	28591	28784	35484	35612	42258	42456	42458	42654	49274	49408	29037	29173	35866	36001	42639	42847	42838	43047	49655	49799	35969	36110	42865	42935	49637	49780	49834	49977	56655	56730	
AEAD	LWC_ALGO_ASCON_128av12	O3	4368	112	1612	21239	21337	28134	28232	34907	35010	35107	35211	41859	42028	21622	21796	28515	28625	35290	35402	35489	35600	42304	42420	28585	28779	35479	35609	42251	42453	42451	42650	49267	49404	29037	29172	35859	36003	42634	42845	42833	43043	49649	49803	35961	36102	42853	42931	49631	49774	49827	49976	56645	56726	
AEAD	LWC_ALGO_ASCON_128av12	Os	3972	112	1612	27467	27619	36428	36512	45085	45168	45408	45492	54065	54217	28193	28210	37020	37107	45748	45823	46072	46148	54791	54808	37183	37280	46072	46165	54797	54884	55053	55145	63778	63867	37839	37930	46734	46820	55390	55477	55790	55803	64437	64526	46892	46991	55783	55817	64442	64544	64769	64867	73693	73802	
AEAD	LWC_ALGO_ASCON_128av12	Ofast	4368	112	1612	21240	21338	28134	28232	34908	35010	35105	35212	41857	42028	21686	21729	28450	28624	35289	35403	35560	35667	42305	42354	28650	28713	35477	35610	42318	42385	42518	42650	49267	49409	28964	29171	35860	36000	42700	42843	42901	42978	49649	49797	35961	36101	42855	42997	49632	49841	49831	49971	56578	56790	
AEAD	LWC_ALGO_ASCON_128v12	O0	11572	112	1612	125827	126614	187180	188140	218092	219233	248915	250023	279847	281171	157211	158086	218568	219576	249320	250495	280241	281573	311074	312374	188380	189340	249729	250890	280646	281977	311405	312759	342448	343909	219692	220838	281109	282374	311813	313231	342795	344301	373622	375108	250918	252023	312279	313572	343232	344655	374022	375571	404940	406653	
AEAD	LWC_ALGO_ASCON_128v12	O1	3548	112	1612	21043	21096	31046	31157	36099	36215	41224	41273	46288	46399	26238	26463	36304	36452	41428	41515	46486	46636	51613	51760	31539	31701	41540	41763	46663	46818	51727	51880	56779	57003	36773	36937	46840	46932	51965	52122	56959	57114	62082	62238	42009	42240	52076	52238	57199	57296	62253	62419	67526	67684	
AEAD	LWC_ALGO_ASCON_128v12	O2	3604	112	1612	21287	21325	31421	31523	36538	36649	41721	41758	46838	46940	26607	26688	36743	36886	41863	42072	46977	47186	52160	52307	31907	32055	42106	42183	47224	47369	52344	52486	57455	57666	37272	37350	47403	47550	52594	52667	57636	57851	62823	62967	42565	42651	52766	52911	57820	58030	63000	63146	68325	68474	
AEAD	LWC_ALGO_ASCON_128v12	O3	3608	112	1612	21285	21326	31419	31522	36538	36639	41718	41756	46836	46939	26604	26687	36739	36882	41856	42067	46974	47190	52156	52306	31902	32050	42106	42184	47218	47371	52335	52488	57461	57663	37265	37347	47398	47544	52583	52663	57632	57845	62812	62966	42560	42644	52759	52912	57809	58025	62993	63072	68317	68464	
AEAD	LWC_ALGO_ASCON_128v12	Os	3372	112	1612	27480	27595	40612	40597	47189	47243	53765	53818	60406	60457	34463	34514	47530	47580	54110	54156	60750	60728	67532	67580	41380	41493	54446	54495	61089	61076	67872	67922	74513	74495	48364	48410	61431	61410	68279	68328	74786	74895	81430	81540	55352	55329	68553	68668	75128	75237	81775	81818	88351	88467	
