type	algorithm	optimization	text	data	bss	h(0)	h(8)	h(16)	h(32)	h(64)	h(128)	h(256)	h(512)	h(1024)
HASH	LWC_ALGO_HASH_KNOT_256V2	Os	992	240	1544	21020	21104	31484	41948	62825	104823	188563	356323	691500	
HASH	LWC_ALGO_HASH_KNOT_256V2	Ofast	1400	240	1544	18654	18702	27726	36825	55022	91504	164276	309866	601300	
HASH	LWC_ALGO_HASH_KNOT_384	O0	3084	240	1544	116371	173510	230648	402024	687457	1315708	2514891	4970282	9824108	
HASH	LWC_ALGO_HASH_KNOT_384	O1	1768	240	1544	21070	31231	41440	72193	123120	235545	450025	889415	1757751	
HASH	LWC_ALGO_HASH_KNOT_384	O2	1792	240	1544	25441	37873	50250	87715	149978	286870	548295	1083567	2141713	
HASH	LWC_ALGO_HASH_KNOT_384	O3	2052	240	1544	23647	35167	46588	81252	138880	265636	507400	1002885	1982073	
HASH	LWC_ALGO_HASH_KNOT_384	Os	1724	240	1544	26056	38782	51507	89814	153567	293796	561515	1109651	2193431	
HASH	LWC_ALGO_HASH_KNOT_384	Ofast	2052	240	1544	23595	35217	46589	81253	138879	265636	507400	1002879	1982058	
HASH	LWC_ALGO_HASH_KNOT_512	O0	3172	368	1544	183967	274704	365230	546451	908662	1633411	3083024	5981856	11779468	
HASH	LWC_ALGO_HASH_KNOT_512	O1	1128	368	1544	45264	67779	90044	134777	224147	403028	760656	1476039	2906759	
HASH	LWC_ALGO_HASH_KNOT_512	O2	1220	368	1544	55385	82896	110216	165156	275025	494422	933467	1811379	3567462	
HASH	LWC_ALGO_HASH_KNOT_512	O3	1472	368	1544	52141	78130	103800	155439	258522	465131	877952	1703552	3355180	
HASH	LWC_ALGO_HASH_KNOT_512	Os	1108	368	1544	48884	73228	97328	145775	242468	436048	823225	1597601	3146246	
HASH	LWC_ALGO_HASH_KNOT_512	Ofast	1472	368	1544	52088	78131	103802	155439	258519	465129	877957	1703613	3355243	
HASH	LWC_ALGO_HASH_ORANGISHV1	O0	2996	128	1544	2701681	4055672	4053308	5404741	8108905	13514209	24328265	45946994	89184984	
HASH	LWC_ALGO_HASH_ORANGISHV1	O1	1416	128	1544	868390	1303413	1303341	1738121	2607496	4346506	7824302	14779882	28690954	
HASH	LWC_ALGO_HASH_ORANGISHV1	O2	1360	128	1544	1057652	1587301	1587357	2116564	3175196	5292315	9526781	17995585	34933265	
HASH	LWC_ALGO_HASH_ORANGISHV1	O3	2152	128	1544	524158	788383	787475	1050609	1574583	2627997	4729746	8932904	17342041	
HASH	LWC_ALGO_HASH_ORANGISHV1	Os	1308	128	1544	963978	1446947	1447352	1929993	2895225	4826183	8687419	16411743	31860220	
HASH	LWC_ALGO_HASH_ORANGISHV1	Ofast	2152	128	1544	524204	788387	787534	1050662	1574548	2627951	4729793	8932938	17342022	
HASH	LWC_ALGO_HASH_PHOTON_BEETLE_PHOTONBEETLEHASH256RATE32V1	O1	4068	128	1548	964046	964145	964231	2892494	6748799	14461839	29887886	60739654	122443572	
HASH	LWC_ALGO_HASH_PHOTON_BEETLE_PHOTONBEETLEHASH256RATE32V1	O2	4032	128	1548	1141508	1141573	1141609	3424547	7990461	17122490	35386260	71914232	144969880	
HASH	LWC_ALGO_HASH_PHOTON_BEETLE_PHOTONBEETLEHASH256RATE32V1	O3	5120	128	1548	489669	489779	489831	1469128	3427960	7345597	15180742	30851203	62192069	
HASH	LWC_ALGO_HASH_PHOTON_BEETLE_PHOTONBEETLEHASH256RATE32V1	Os	3944	128	1548	1035105	1035225	1035257	3105271	7245133	15524863	32084596	65203807	131442769	
HASH	LWC_ALGO_HASH_PHOTON_BEETLE_PHOTONBEETLEHASH256RATE32V1	Ofast	5120	128	1548	489620	489779	489827	1469147	3428003	7345622	15180739	30851178	62192095	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	O0	3160	112	1544	81103	81157	81108	161580	242060	403231	725357	1369435	2657963	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	O1	1444	112	1544	19510	19516	19516	38458	57357	95347	171188	322812	626312	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	O2	1548	112	1544	20204	20210	20211	39849	59444	98833	177465	334915	649414	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	O3	3392	112	1544	17179	17186	17185	33744	50307	83630	150133	283042	548848	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	Os	1384	112	1544	19724	19782	19730	38844	58016	96446	173118	326562	633655	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	Ofast	3392	112	1544	17178	17185	17188	33745	50359	83631	150134	283033	548844	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	O0	3792	112	1544	1716489	3432489	5148411	8580359	15444368	29172522	56628466	111540313	221364069	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	O1	1672	112	1544	324312	648343	972490	1620622	2917061	5509727	10695058	21065731	41806867	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	O2	1584	112	1544	336121	671903	1007674	1679227	3022513	5708824	11081575	21827084	43317781	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	O3	2912	112	1544	111418	222704	333980	556346	1001254	1890815	3670467	7229287	14347007	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	Os	1516	112	1544	362964	725804	1088470	1813914	3264872	6166915	11970685	23578432	46794003	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	Ofast	2912	112	1544	111417	222698	333979	556317	1001252	1890846	3670427	7229305	14346960	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	O0	3840	112	1544	4066172	4066249	6099014	8131926	12197736	20329294	36592472	69118870	134171792	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	O1	1720	112	1544	739577	739589	1109066	1478724	2217854	3696444	6653371	12567206	24395019	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	O2	1636	112	1544	761220	761305	1141707	1522257	2283128	3805188	6848988	12936682	25112236	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	O3	2964	112	1544	248205	248271	372121	496102	743982	1239633	2231362	4214334	8180231	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	Os	1564	112	1544	848094	848162	1272112	1695895	2543714	4239305	7630522	14412824	27977520	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	Ofast	2964	112	1544	248146	248275	372182	496090	744043	1239617	2231342	4214314	8180187	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	O0	4740	112	1544	41047	41161	41212	57064	88980	152548	279792	534282	1043048	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	O1	3876	112	1544	7719	7729	7780	10572	16192	27381	49704	94596	184193	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	O2	3860	112	1544	7732	7742	7797	10594	16226	27438	49811	94798	184591	
