type	algorithm	optimization	text	data	bss	enc(0,0)	dec(0,0)	enc(0,8)	dec(0,8)	enc(0,16)	dec(0,16)	enc(0,24)	dec(0,24)	enc(0,32)	dec(0,32)	enc(8,0)	dec(8,0)	enc(8,8)	dec(8,8)	enc(8,16)	dec(8,16)	enc(8,24)	dec(8,24)	enc(8,32)	dec(8,32)	enc(16,0)	dec(16,0)	enc(16,8)	dec(16,8)	enc(16,16)	dec(16,16)	enc(16,24)	dec(16,24)	enc(16,32)	dec(16,32)	enc(24,0)	dec(24,0)	enc(24,8)	dec(24,8)	enc(24,16)	dec(24,16)	enc(24,24)	dec(24,24)	enc(24,32)	dec(24,32)	enc(32,0)	dec(32,0)	enc(32,8)	dec(32,8)	enc(32,16)	dec(32,16)	enc(32,24)	dec(32,24)	enc(32,32)	dec(32,32)
AEAD	LWC_ALGO_ASCON_128v12	O2	3244	112	1544	13619	13638	20112	20181	23323	23393	26637	26658	29903	29973	17016	17118	23456	23555	26720	26873	30036	30138	33300	33402	20405	20519	26896	26960	30111	30273	33425	33538	36691	36805	23843	23921	30287	30413	33548	33729	36813	36940	40132	40258	27236	27376	33672	33816	36937	37079	40252	40344	43517	43606	
AEAD	LWC_ALGO_ASCON_128v12	O3	3248	112	1544	13619	13638	20112	20181	23323	23393	26637	26658	29903	29973	17016	17118	23456	23554	26721	26872	30037	30138	33300	33402	20405	20519	26896	26960	30111	30273	33425	33538	36691	36805	23843	23921	30287	30413	33548	33729	36813	36940	40132	40258	27236	27376	33672	33816	36937	37079	40252	40344	43517	43606	
AEAD	LWC_ALGO_ASCON_128v12	Os	3100	112	1544	15046	15399	22120	22595	25770	26307	29364	29965	32957	33679	18817	19288	25890	26485	29537	30144	33133	33802	36726	37508	22587	23070	29712	30315	33306	34028	36901	37634	40551	41346	26407	26957	33479	34149	37075	37807	40671	41469	44325	45182	30176	30790	37301	38039	40844	41695	44492	45355	48092	49011	
AEAD	LWC_ALGO_ASCON_128v12	Ofast	3248	112	1544	13616	13690	20056	20130	23323	23444	26584	26710	29899	29976	17016	17115	23508	23607	26720	26870	30039	30134	33356	33402	20457	20571	26844	27010	30161	30274	33426	33538	36741	36856	23792	23920	30287	30412	33549	33679	36812	36940	40131	40204	27233	27325	33673	33815	36989	37131	40200	40344	43515	43659	
AEAD	LWC_ALGO_ASCON_80pqv12	O0	6772	112	1544	38895	39185	57179	57524	66740	67027	76082	76377	85432	85725	48503	48798	67045	67385	76341	76689	85695	85991	94987	95331	58162	58416	76711	77010	86004	86312	95351	95653	104643	105003	67980	68296	86319	86681	95667	95972	105013	105268	114304	114618	77647	77954	95980	96287	105274	105586	114628	114967	123915	124283	
AEAD	LWC_ALGO_ASCON_80pqv12	O1	3196	112	1544	13782	13845	20213	20332	23486	23604	26761	26930	30086	30207	17187	17333	23670	23817	26891	27091	30220	30314	33545	33643	20629	20791	27062	27224	30335	30446	33609	33771	36940	37098	23971	24196	30453	30632	33727	33905	37053	37232	40275	40453	27415	27607	33845	34089	37120	37312	40444	40642	43721	43912	
AEAD	LWC_ALGO_ASCON_80pqv12	O2	3288	112	1544	13767	13792	20202	20284	23465	23550	26729	26868	30043	30134	17163	17267	23653	23759	26864	27028	30180	30239	33495	33557	20602	20723	26988	27162	30305	30431	33618	33695	36882	37013	23938	24126	30428	30568	33694	33832	36954	37096	40216	40363	27375	27479	33814	34021	37077	37234	40389	40554	43656	43821	
AEAD	LWC_ALGO_ASCON_80pqv12	O3	3288	112	1544	13764	13792	20202	20285	23465	23550	26728	26870	30045	30136	17166	17267	23653	23760	26864	27025	30179	30242	33494	33557	20602	20722	26989	27164	30303	30428	33619	33697	36883	37013	23938	24125	30375	30566	33693	33832	36953	37098	40216	40366	27377	27529	33814	34021	37077	37234	40389	40554	43656	43821	
AEAD	LWC_ALGO_ASCON_80pqv12	Os	3140	112	1544	15257	15596	22317	22788	25963	26446	29554	30159	33151	33814	19020	19433	26133	26677	29727	30281	33320	33990	36965	37702	22787	23263	29846	30510	33491	34168	37084	37822	40677	41481	26600	27096	33665	34394	37258	37998	40897	41708	44497	45365	30361	30980	37426	38174	41072	41832	44664	45545	48260	49200	
AEAD	LWC_ALGO_ASCON_80pqv12	Ofast	3288	112	1544	13763	13844	20202	20285	23519	23603	26731	26868	30044	30134	17163	17270	23653	23710	26919	27025	30182	30291	33444	33561	20550	20670	27041	27165	30303	30428	33569	33695	36835	36963	23993	24126	30426	30565	33742	33832	37009	37150	40215	40416	27324	27528	33817	33972	37078	37237	40392	40554	43656	43765	
AEAD	LWC_ALGO_COMET_128aesv1	O0	6480	112	1544	20406	20505	30769	31039	30531	30930	41216	41560	40976	41448	31545	32029	42284	42698	42169	42583	52850	53217	52615	53107	31736	32271	42475	43015	42362	42846	52973	53519	52807	53346	43263	43811	54002	54604	53835	54439	64424	65174	64334	64936	43454	44052	54189	54796	54025	54731	64639	65295	64575	65181	
AEAD	LWC_ALGO_COMET_128aesv1	O1	3180	112	1544	9041	9107	13142	13330	13036	13402	17512	17772	17407	17795	13275	13700	17700	18106	17719	18127	22242	22551	22090	22517	13418	13895	17844	18325	17863	18344	22214	22695	22286	22714	18023	18548	22450	23028	22467	22997	26850	27468	26892	27420	18167	18796	22594	23175	22665	23247	27019	27596	27037	27564	
AEAD	LWC_ALGO_COMET_128aesv1	O2	3140	112	1544	8883	8904	12878	13027	12772	13099	17154	17379	17051	17451	12968	13400	17337	17707	17359	17728	21734	22004	21687	22079	13165	13600	17484	17931	17504	17952	21813	22259	21781	22227	17695	18177	22065	22557	22034	22527	26318	26904	26311	26853	17843	18431	22159	22708	22232	22780	26489	27037	26509	27057	
AEAD	LWC_ALGO_COMET_128aesv1	O3	3824	112	1544	8261	8281	11803	12004	11699	11974	15629	15855	15526	15875	11854	12247	15719	16104	15740	16123	19667	19953	19569	19972	11945	12342	15813	16273	15832	16292	19638	20100	19660	20119	15879	16437	19852	20370	19818	20338	23604	24317	23646	24165	16023	16586	19888	20465	19963	20536	23718	24293	23738	24311	
AEAD	LWC_ALGO_COMET_128aesv1	Os	2820	112	1544	9405	9426	13796	13987	13524	13891	18355	18564	18131	18468	14096	14493	18814	19188	18716	19093	23492	23818	23274	23668	14154	14606	18871	19322	18774	19228	23479	23930	23331	23834	19222	19731	23937	24500	23841	24351	28526	29175	28449	28958	19278	19845	24048	24563	23949	24517	28605	29116	28507	29073	
AEAD	LWC_ALGO_COMET_128aesv1	Ofast	3824	112	1544	8259	8229	11805	11954	11701	12025	15630	15855	15525	15875	11853	12194	15719	16103	15739	16123	19669	19952	19567	19972	11944	12395	15813	16273	15836	16293	19639	20099	19715	20170	15931	16437	19798	20370	19819	20337	23654	24319	23646	24215	16023	16586	19939	20517	19909	20486	23717	24343	23737	24312	
AEAD	LWC_ALGO_COMET_128chamv1	O0	7164	112	1544	286282	286384	429634	429923	429414	429809	573091	573375	572857	573223	430375	430911	574118	574573	573990	574447	717679	718051	717380	717929	430617	431152	574303	574835	574173	574719	717757	718298	717625	718174	575097	575688	718773	719391	718670	719268	862408	863144	862322	862930	575275	575925	718978	719621	718854	719508	862631	863209	862446	863166	
AEAD	LWC_ALGO_COMET_128chamv1	O1	3252	112	1544	76500	76510	114248	114540	114139	114558	152442	152708	152393	152721	114375	114797	152677	153040	152710	153112	190820	191125	190724	191150	114523	114999	152829	153257	152848	153326	190842	191326	190866	191342	153007	153483	191079	191606	191100	191629	229264	229936	229297	229838	153154	153679	191219	191806	191237	191822	229431	230013	229501	230086	
AEAD	LWC_ALGO_COMET_128chamv1	O2	3196	112	1544	66755	66777	99679	99823	99515	99897	132953	133181	132854	133199	99762	100197	133141	133513	133210	133585	166414	166675	166364	166754	99910	100344	133286	133734	133358	133801	166433	166882	166505	166901	133500	133985	166687	167178	166758	167253	200007	200641	200101	200543	133698	134236	166833	167386	166909	167400	200222	200772	200196	200792	
AEAD	LWC_ALGO_COMET_128chamv1	O3	4288	112	1544	20544	20512	30155	30411	30104	30430	40150	40377	40098	40393	30256	30649	40239	40676	40262	40646	50415	50645	50315	50665	30296	30797	40383	40845	40354	40866	50331	50793	50353	50814	40502	41011	50491	51010	50511	51032	60467	61077	60511	61029	40545	41159	50586	51159	50605	51178	60583	61157	60605	61176	
AEAD	LWC_ALGO_COMET_128chamv1	Os	2900	112	1544	88659	88681	132760	132948	132591	132904	176876	177084	176657	176988	133115	133508	177336	177711	177237	177615	221772	222039	221552	221951	133115	133568	177393	177844	177299	177752	221702	222155	221592	222059	177741	178251	222215	222724	222119	222625	266503	267155	266429	266944	177800	178367	222267	222842	222177	222744	266588	267094	266485	267002	
AEAD	LWC_ALGO_COMET_128chamv1	Ofast	4288	112	1544	20544	20564	30208	30409	30104	30429	40151	40430	40047	40395	30256	30648	40293	40675	40263	40695	50360	50646	50260	50664	30348	30797	40385	40794	40406	40869	50333	50793	50354	50811	40504	41015	50492	51010	50512	51031	60467	61130	60459	61030	40597	41159	50583	51160	50605	51178	60583	61157	60551	61179	
AEAD	LWC_ALGO_COMET_64chamv1	O0	7160	112	1544	155985	155900	233357	233554	311049	311192	388643	388832	466538	466700	233974	234320	311727	312084	389357	389775	467158	467568	544773	545329	312247	312708	390052	390468	467855	468302	545488	545938	623117	623556	390576	391093	468593	469114	546160	546706	623813	624317	701368	702106	469114	469686	546868	547513	624505	625079	702082	702732	779787	780339	
AEAD	LWC_ALGO_COMET_64chamv1	O1	2864	112	1544	25320	25248	37276	37421	49582	49678	61778	61927	74221	74389	37352	37689	49735	50024	61935	62284	74383	74721	86554	87095	49809	50249	62139	62532	74587	74931	86838	87234	99035	99412	62257	62698	74727	75222	86982	87427	99230	99709	111459	112044	74900	75383	87172	87670	99482	99928	111681	112178	123934	124406	
AEAD	LWC_ALGO_COMET_64chamv1	O2	2852	112	1544	24469	24357	35989	36102	47819	47940	59644	59765	71664	71813	36066	36362	47962	48266	59789	60103	71806	72127	83561	84022	48101	48452	59997	60356	72017	72386	83790	84168	95619	95972	60125	60479	72215	72571	83991	84412	95818	96218	107622	108140	72337	72749	84233	84702	96015	96489	107833	108319	119612	120077	
AEAD	LWC_ALGO_COMET_64chamv1	O3	3788	112	1544	9923	9810	14180	14293	18695	18815	23207	23329	27769	27921	14204	14509	18786	19097	23352	23620	27863	28187	32354	32825	18876	19241	23509	23880	28025	28403	32536	32919	37048	37465	23535	23958	28169	28598	32682	33121	37195	37615	41736	42328	28246	28729	32828	33316	37393	37891	41853	42407	46418	46901	
